uid,crop_name,main_stage,sub_stage_name,start_day,end_day,data_source,created_at,updated_at,deleted_at,susceptible_pests,pest_risk_factors,pest_management,susceptible_diseases,disease_risk_factors,disease_management,env_conditions
csk_14f9fa57-1470-48d9-9de6-82120d09b3ce,soybean,Vegetative Phase,Early Seedling Growth,7,25,llm,2026-06-21 07:32:15.294339+00:00,2026-06-21 07:32:15.294339+00:00,,"Blue beetle, Stem fly, Tobacco caterpillar","Warm and cloudy weather, dry soil patches, and too many weeds around the young plants.","Field care: Keep the field completely free of weeds where pests like to hide. Natural control: Put up yellow sticky cards to catch small flying pests and spray neem water on the leaves. Spray if needed: If you see many leaves with holes, spray a safe pest-control medicine from your local cooperative.","Root rot, Collar rot, Yellow mosaic disease","Water standing in the field, heavy clay soil that stays wet, and cloudy damp days.","Field care: Make small channels to drain out standing rainwater immediately so the roots can breathe. Natural control: Mix friendly bio-fungus powder with well-rotted cow dung and apply it near the wet soil. Spray if needed: If the baby plants start rotting at the base, spray a simple copper medicine near the roots.","{""uv_index"": ""6-10"", ""temp_max_c"": ""38"", ""temp_min_c"": ""15"", ""photoperiod"": ""12-14"", ""soil_temp_c"": ""20-28"", ""irrigation_mm"": ""25-35"", ""optimal_temp_c"": ""25-32"", ""avg_yield_kg_ha"": ""1500-2000"", ""rel_humidity_pct"": ""60-75"", ""harvest_index_pct"": ""35-40"", ""soil_moisture_pct"": ""50-60""}"
csk_26b0fabf-f67c-4505-a7cc-2f6bb7bb26a8,soybean,Vegetative Phase,Active Branching and Leaf Development,25,40,llm,2026-06-21 07:32:15.294339+00:00,2026-06-21 07:32:15.294339+00:00,,"Girdle beetle, Leaf-eating caterpillars, Semilooper, Whitefly","Cloudy weather, high humidity, too many weeds in the field, and plants growing too close to each other.","Field care: Walk through your field daily and cut off any dry or broken branches damaged by the girdle beetle. Natural control: Put up wooden bird perches to invite birds that eat caterpillars, and hang yellow sticky cards to catch whiteflies. Spray if needed: Spray homemade neem water on the leaves to keep pests away.","Yellow mosaic disease, Root rot, Leaf spot","Water standing in the field, continuous cloudy days, and heavy rains.",Field care: Dig small channels to drain out extra rainwater from the field quickly. Natural control: Pull out any yellow-colored plants completely and bury them outside the field so the disease does not spread. Spray if needed: Spray a simple copper-based medicine mixed in water if you see dark spots on the leaves.,"{""uv_index"": ""6 to 10. Bright sunny days help the plants prepare food efficiently."", ""temp_max_c"": ""38°C. Very high heat can dry up the tender new leaves."", ""temp_min_c"": ""15°C. Growth will slow down if the temperature drops below this level."", ""photoperiod"": ""11 to 13 hours. Normal monsoon day length is ideal for leaf growth."", ""soil_temp_c"": ""22°C to 28°C. Warm soil helps the roots absorb plant food easily."", ""irrigation_mm"": ""30-40 mm. Apply light watering only if the monsoon rains fail for more than a week."", ""optimal_temp_c"": ""25°C to 32°C. This warm weather helps the crop branch out quickly."", ""avg_yield_kg_ha"": ""1500 to 2000 kg per hectare. Proper care now lays the foundation for a rich harvest."", ""rel_humidity_pct"": ""60% to 80%. Moderate moisture in the air keeps the leaves healthy."", ""harvest_index_pct"": ""35% to 40%. Strong branching at this stage ensures more pods and seeds later."", ""soil_moisture_pct"": ""60% to 70%. Keep the soil moist but avoid water logging in the field.""}"
csk_9c830407-f938-4ad0-8d3c-c5f3244aff50,soybean,Reproductive Phase,Flowering and Budding,40,55,llm,2026-06-21 07:32:15.294339+00:00,2026-06-21 07:32:15.294339+00:00,,"Girdle beetle, Tobacco caterpillar, Semilooper, Whitefly","Cloudy weather, high humidity, warm days, and too many weeds in the field","Field care: Walk through the field daily to hand-pick and destroy caterpillars and leaves damaged by girdle beetles. Put up T-shaped wooden sticks for birds to sit on and eat the worms. Natural control: Spray neem water or neem oil on the leaves. Spray if needed: If you see many caterpillars, use a safe pest-control spray from your local government depot.","Yellow mosaic disease, Soybean rust, Leaf spot","Continuous rains, water standing in the soil, and a high number of whiteflies",Field care: Pull out any plants that turn bright yellow and bury them deep in the soil to stop the disease from spreading. Keep the drains clean so rainwater flows out quickly. Natural control: Spray sour buttermilk mixed with water to protect the leaves. Spray if needed: Spray a basic copper-based medicine to control rust and leaf spots.,"{""uv_index"": ""6-8. Normal sunny days are good for the crop now."", ""temp_max_c"": ""38°C. Very high heat at this stage will make the flowers fall off."", ""temp_min_c"": ""15°C. Below this temperature, flowers will not form properly."", ""photoperiod"": ""11-13 hours. Shorter days trigger the plant to produce more flowers."", ""soil_temp_c"": ""22-28°C. Warm soil keeps the roots active and healthy."", ""irrigation_mm"": ""35-50 mm. Give light watering if there is no rain to prevent flower drop."", ""optimal_temp_c"": ""24-30°C. This pleasant warmth helps in healthy and heavy flowering."", ""avg_yield_kg_ha"": ""1500-2200 kg/ha. Good care at this stage ensures you reach this target."", ""rel_humidity_pct"": ""60-80%. Moderate humidity helps the flowers set well into pods."", ""harvest_index_pct"": ""35-40%. This is the final grain share you can expect from the total plant weight."", ""soil_moisture_pct"": ""60-70%. Keep the soil damp but do not let water stand in the field.""}"
csk_baac9041-354a-4bf6-a34d-fa6fd895d4e9,soybean,Reproductive Phase,Pod Formation and Seed Filling,55,80,llm,2026-06-21 07:32:15.294339+00:00,2026-06-21 07:32:15.294339+00:00,,"Pod borer, Tobacco caterpillar, Girdle beetle, Semilooper","Cloudy weather, warm and humid days, and too many weeds in the field","Field care: Put up T-shaped wooden bird perches in the field so birds can sit and eat the worms, and handpick big caterpillars. Natural control: Spray homemade neem oil spray or garlic-chili extract on the crop. Spray if needed: If worm damage is high, spray a mild pest-control medicine from the local cooperative store during late afternoon.","Rust, Pod blight, Yellow mosaic disease","Water standing in the field, continuous cloudy and rainy days, and whiteflies flying around the plants","Field care: Keep the field well-drained so water does not stand near the roots, and pull out yellow-colored plants immediately. Natural control: Spray liquid made from mixing cow urine and neem leaves. Spray if needed: Spray a basic copper-based medicine or sulfur powder mixed in water to stop the rust and pod spots from spreading.","{""uv_index"": ""6-8"", ""temp_max_c"": ""35"", ""temp_min_c"": ""15"", ""photoperiod"": ""11-12"", ""soil_temp_c"": ""22-28"", ""irrigation_mm"": ""40-50"", ""optimal_temp_c"": ""24-30"", ""avg_yield_kg_ha"": ""1500-2000"", ""rel_humidity_pct"": ""60-70"", ""harvest_index_pct"": ""35-40"", ""soil_moisture_pct"": ""65-80""}"
csk_ad686e34-3b5d-4a0c-be92-b58701044141,soybean,Germination and Seedling Phase,Sprouting and Seedling Emergence,0,10,llm,2026-06-21 07:33:14.771835+00:00,2026-06-21 07:33:14.771835+00:00,,"Cutworms, White grubs, Seed maggots","Using fresh or wet cow dung in the field, dry soil, and leaving old crop waste on the ground","Field care: Keep the field clean and remove old crop roots before sowing. Natural control: Mix neem cake into the soil to keep soil insects away from young sprouts. Spray if needed: If you see insects cutting the small stems at night, spray a simple insect-killing medicine near the soil in the evening.","Seed rot, Seedling rot, Collar rot","Standing water in the field, sowing seeds too deep, and heavy rains right after sowing","Field care: Make small drains to clear out extra rainwater from the field quickly. Natural control: Treat the seeds with friendly bio-fungicide powder like Trichoderma before sowing. Spray if needed: If young seedlings start rotting and falling down, spray a simple blue copper medicine on the soil around the plants.","{""uv_index"": ""6-10. Protect young seedlings from harsh afternoon sun if possible."", ""temp_max_c"": ""38 °C. Extreme heat can dry out the soil and kill young sprouts."", ""temp_min_c"": ""15 °C. Cold soil will delay sprouting and rot the seeds."", ""photoperiod"": ""12-13 hours. Normal daylight at this stage helps the plants grow strong."", ""soil_temp_c"": ""25-28 °C. Warm soil ensures fast and uniform seedling emergence."", ""irrigation_mm"": ""20-30 mm. Keep the soil moist but avoid waterlogging to prevent seed rot."", ""optimal_temp_c"": ""25-30 °C. Warm weather helps the seeds germinate quickly."", ""avg_yield_kg_ha"": ""0 kg/ha. Proper care now ensures a final yield of 1500-2000 kg per hectare."", ""rel_humidity_pct"": ""60-80%. High humidity helps young leaves grow well."", ""harvest_index_pct"": ""0%. There is no harvest at this early stage."", ""soil_moisture_pct"": ""50-60%. Ensure the soil is damp but not muddy for easy sprouting.""}"
csk_203bb0cd-b28f-4bb1-b627-5d698fcacc74,soybean,Germination and Seedling Phase,Early Leaf Growth,11,25,llm,2026-06-21 07:33:14.771835+00:00,2026-06-21 07:33:14.771835+00:00,,"Blue beetle, Stem fly, Leaf miner, Aphids","Cloudy weather, dry spells after rain, and too many weeds in and around the field.","Field care: Remove all weeds regularly because they give shelter to young pests. Natural control: Spray neem water on the leaves and hang yellow sticky cards in the field to catch flying pests. Spray if needed: If you see many leaves with holes, spray a mild pest medicine from your local cooperative store.","Collar rot, Root rot, Yellow mosaic disease","Water standing in the field, heavy clay soil, and very wet weather.","Field care: Make small channels to drain out standing rainwater immediately. Natural control: Mix friendly bio-fungicide powder like Trichoderma with cow dung and apply it near the plant roots. Spray if needed: If plants start rotting at the base, spray a simple copper medicine near the soil.","{""uv_index"": ""6-10"", ""temp_max_c"": ""38"", ""temp_min_c"": ""15"", ""photoperiod"": ""12-13 hours"", ""soil_temp_c"": ""22-28"", ""irrigation_mm"": ""20-30 mm. Apply light watering only if the soil feels dry."", ""optimal_temp_c"": ""25-32"", ""avg_yield_kg_ha"": ""0. The final expected yield at harvest is 1500-2000 kg/ha."", ""rel_humidity_pct"": ""60-80"", ""harvest_index_pct"": ""0. Pods will develop only after flowering."", ""soil_moisture_pct"": ""60-70""}"
csk_60ffd7d6-d8d9-452e-ac59-2c31db6b16e2,soybean,Reproductive Phase,Seed Filling inside Pods,71,90,llm,2026-06-21 07:33:14.771835+00:00,2026-06-30 09:59:56.270156+00:00,,"Pod borer, Tobacco caterpillar, Girdle beetle, Pod sucking bug","Cloudy weather, warm days, and too many leaves blocking sunlight inside the crop canopy","Field care: Put up T-shaped wooden bird perches across the field so birds can sit and eat the caterpillars. Hand-pick and destroy any visible caterpillars and damaged pods. Natural control: Spray homemade neem seed juice or neem oil on the pods to stop pests from feeding. Spray if needed: If the pest attack is severe, use a safe caterpillar spray recommended by your local government farm officer.","Pod blight, Soybean rust, Charcoal rot","Water standing in the field, continuous rain, and damp, cloudy weather",Field care: Make sure excess rainwater drains out quickly and does not stand near the roots. Remove and burn plants that show black spots on pods. Natural control: Spray liquid bio-fungicide like Trichoderma mixed in water to protect the crop. Spray if needed: Spray a basic copper-based medicine or rust-control spray to save the filling seeds.,"{""uv_index"": ""6-8"", ""temp_max_c"": ""38"", ""temp_min_c"": ""15"", ""photoperiod"": ""11-12"", ""soil_temp_c"": ""20-26"", ""irrigation_mm"": ""35-50"", ""optimal_temp_c"": ""22-30"", ""avg_yield_kg_ha"": ""1500-2200"", ""rel_humidity_pct"": ""50-65"", ""harvest_index_pct"": ""35-40"", ""soil_moisture_pct"": ""60-70""}"
csk_614bd777-fe90-4ae4-a515-30807ebd944f,soybean,Reproductive Phase,Flowering,41,55,llm,2026-06-21 07:33:14.771835+00:00,2026-06-21 07:33:14.771835+00:00,,"Green semilooper, Tobacco caterpillar, Girdle beetle, Whitefly","Cloudy weather, warm and humid days, and too many weeds in the field.","Field care: Put up T-shaped wooden stands for birds to sit and eat caterpillars, and hang yellow sticky cards to catch whiteflies. Natural control: Spray neem oil mixed with soap water on the leaves. Spray if needed: If you see many cut leaves or damaged stems, ask your local cooperative for a safe caterpillar spray.","Soybean rust, Yellow mosaic disease","Continuous rainy days, water standing in the field, and high humidity.","Field care: Pull out any plants that turn completely yellow and bury them outside the field. Keep the drains open so water does not stand near the roots. Spray if needed: If you see brown rust spots under the leaves, spray a basic copper medicine mixed in water to save the crop.","{""uv_index"": ""6-8"", ""temp_max_c"": ""35"", ""temp_min_c"": ""15"", ""photoperiod"": ""11-13 hours"", ""soil_temp_c"": ""22-28"", ""irrigation_mm"": ""35-50 mm. Give light watering if there is no rain to prevent flower drop."", ""optimal_temp_c"": ""24-30"", ""avg_yield_kg_ha"": ""1500-2000"", ""rel_humidity_pct"": ""60-80"", ""harvest_index_pct"": ""35-40"", ""soil_moisture_pct"": ""60-70%. Keep the soil damp but avoid waterlogging.""}"
csk_318c5888-4024-4fa3-87e8-3a8eb3f535e9,"pea,_dry_",Reproductive Phase,Pod Formation and Development,71,90,llm,2026-06-30 15:48:05.137518+00:00,2026-06-30 15:48:05.137518+00:00,,"pod borer caterpillar, green aphids, leaf miner","cloudy weather, warm day temperatures, and too much nitrogen fertilizer","Field care: Handpick and destroy any visible caterpillars and damaged pods daily. Install yellow sticky traps to catch flying pests. Natural control: Spray homemade neem seed kernel extract or neem oil mixed with soapy water. Spray if needed: Use a mild, farmer-recommended pest spray only in the evening when helpful honeybees are not active.","powdery mildew, pod rot, rust","cool nights with warm days, heavy morning dew, and crowded plants that block sunlight","Field care: Pluck and burn infected leaves showing white powder or rust spots to stop the spread. Avoid watering the plants from above late in the evening. Natural control: Spray a mixture of sour buttermilk and water, or use baking soda mixed with water on the leaves. Spray if needed: Apply a basic sulfur powder or a simple copper spray if the white powder covers more than a few leaves.","{""uv_index"": ""4-6"", ""temp_max_c"": ""25"", ""temp_min_c"": ""8"", ""photoperiod"": ""10-11"", ""soil_temp_c"": ""12-18"", ""irrigation_mm"": ""25-35"", ""optimal_temp_c"": ""15-20"", ""avg_yield_kg_ha"": ""1500-2000"", ""rel_humidity_pct"": ""50-60"", ""harvest_index_pct"": ""40-45"", ""soil_moisture_pct"": ""60-70""}"
csk_48ca4be2-da70-4589-98a2-e5e4a6d0c873,soybean,Maturity Phase,Leaf Shedding and Pod Drying,91,105,llm,2026-06-21 07:33:14.771835+00:00,2026-06-21 07:33:14.771835+00:00,,"Pod borer, Stink bug, Girdle beetle","Dry and warm weather, weeds around the field, and late sowing of the crop","Field care: Walk through the field and handpick any visible caterpillars or damaged pods. Natural control: Spray neem oil mixed with soap water to keep pests away. Spray if needed: If you see heavy damage on pods, use a safe, government-approved insect spray from your local store. Always harvest on time to avoid late pest attacks.","Pod blight, Charcoal rot, Rust","Sudden late rains, wet soil, cloudy weather, and high humidity during pod drying","Field care: Make sure there is no standing water in the field and harvest the crop as soon as the pods turn brown. Natural control: Spray bio-fungicide like Trichoderma powder mixed in water if you see black spots. Spray if needed: If wet weather continues and pods start rotting, spray a basic copper-based medicine to save the seeds. Dry the harvested pods well in the sun before storing them.","{""uv_index"": ""5-7. Normal sunny days are good for drying."", ""temp_max_c"": ""35°C. High heat at this stage can cause pods to shatter early."", ""temp_min_c"": ""15°C. Protect the crop if temperatures drop suddenly."", ""photoperiod"": ""11-12 hours. Shorter days trigger final ripening."", ""soil_temp_c"": ""20-25°C. Cool and dry soil helps in natural leaf shedding."", ""irrigation_mm"": ""0 mm. Stop watering completely to let the pods dry and prevent seed rot."", ""optimal_temp_c"": ""20-28°C. This range is perfect for uniform drying of pods."", ""avg_yield_kg_ha"": ""1500-2000 kg/ha. This is the expected final harvest weight."", ""rel_humidity_pct"": ""40-50%. Dry air helps the pods dry faster and prevents fungal growth."", ""harvest_index_pct"": ""35-40%. This shows a healthy ratio of grain to plant weight."", ""soil_moisture_pct"": ""30-40%. Low soil moisture is necessary for proper maturity.""}"
csk_7e6b28c4-6797-47c5-af1c-f072350ec561,soybean,Maturity Phase,Harvesting,106,115,llm,2026-06-21 07:33:14.771835+00:00,2026-06-21 07:33:14.771835+00:00,,"Pod borer, Stink bugs, Field rats","Delaying the harvest, dry weather, and leaving cut crop piles open in the field for too long",Field care: Harvest the crop on time when most pods turn golden-brown to prevent pod shattering and pest attacks. Keep the field borders clean and use simple wooden traps to control rats. Natural control: Use home-made neem seed spray if you see pests just before cutting. Spray if needed: Avoid using strong chemical sprays at this late stage to keep your grains safe for eating.,"Pod blight, Charcoal rot, Pod rot","Unseasonal rains during harvest, high moisture in the soil, and piling wet plants together",Field care: Cut the crop on a sunny day when the soil is dry and do not harvest during rains. Spread the cut plants in the sun to dry completely before separating the seeds. Natural control: Clean and dry your storage bags and rooms thoroughly before storing the harvest. Spray if needed: Do not spray any liquid medicines on the harvested crop as it will spoil the seeds.,"{""uv_index"": ""5-7"", ""temp_max_c"": ""38"", ""temp_min_c"": ""15"", ""photoperiod"": ""11-12"", ""soil_temp_c"": ""20-25"", ""irrigation_mm"": ""0"", ""optimal_temp_c"": ""25-30"", ""avg_yield_kg_ha"": ""1500-2000"", ""rel_humidity_pct"": ""40-50"", ""harvest_index_pct"": ""35-40"", ""soil_moisture_pct"": ""20-30""}"
csk_3f6c88d5-dd80-41a4-acb3-08e5b475aa99,"pea,_dry_",Maturity and Harvesting,Pod Drying and Seed Hardening,91,120,llm,2026-06-30 15:48:05.137518+00:00,2026-06-30 15:48:05.137518+00:00,,"pod borer, aphids","warm and dry weather, cloudy days, late harvesting","Field care: Handpick and destroy any visible caterpillars and damaged pods. Natural control: Set up wooden bird perches in the field to attract birds that eat caterpillars, and spray neem oil mixed with soapy water. Spray if needed: If the pest attack is very high, spray a mild, recommended pest-control medicine from your local cooperative store during the late afternoon.","powdery mildew, pod rot","cool nights with warm days, high humidity, water pooling in the field","Field care: Stop watering the field completely to let the pods dry, and remove any infected plants immediately. Natural control: Spray a mixture of sour buttermilk and water on the crop to check mild infections. Spray if needed: If a white powdery layer covers the leaves and pods, spray a simple sulphur-based powder mixed in water to save the seeds.","{""uv_index"": ""5-7"", ""temp_max_c"": ""30"", ""temp_min_c"": ""8"", ""photoperiod"": ""10-11"", ""soil_temp_c"": ""15-20"", ""irrigation_mm"": ""0-10"", ""optimal_temp_c"": ""15-22"", ""avg_yield_kg_ha"": ""1500-2000"", ""rel_humidity_pct"": ""50-60"", ""harvest_index_pct"": ""40-45"", ""soil_moisture_pct"": ""30-40""}"
csk_c299d92b-de8a-4aa6-95a4-2637d361b3fe,soybean,Vegetative Growth Phase,Branching and Leaf Development,11,35,llm,2026-06-21 09:49:25.592994+00:00,2026-06-21 09:49:25.592994+00:00,,"Girdle beetle, Tobacco caterpillar, Stem fly, Green semilooper","Cloudy weather, high humidity, weeds in the field, and closely planted crops","Field care: Keep the field clean by removing all weeds and pluck off any leaves that have caterpillar eggs. Natural control: Put up T-shaped wooden bird perches in the field to attract birds that eat caterpillars, and spray neem oil mixed with soap water. Spray if needed: If you see many cut leaves or damaged stems, spray a mild insect control medicine after consulting your local agricultural officer.","Yellow mosaic disease, Collar rot, Root rot","Waterlogging in the field, continuous heavy rains, and the presence of tiny whiteflies that spread the yellowing disease",Field care: Remove and bury any yellow-colored plants immediately to stop the disease from spreading to healthy plants. Natural control: Apply friendly fungus powder like Trichoderma mixed with rotten cow dung near the plant roots to stop root rot. Spray if needed: Spray a light medicine to control whiteflies so that the yellow mosaic disease does not spread further.,"{""uv_index"": ""6-10"", ""temp_max_c"": ""38"", ""temp_min_c"": ""15"", ""photoperiod"": ""12-14 hours"", ""soil_temp_c"": ""22-28"", ""irrigation_mm"": ""25-40"", ""optimal_temp_c"": ""25-32"", ""avg_yield_kg_ha"": ""1500-2000"", ""rel_humidity_pct"": ""60-80"", ""harvest_index_pct"": ""35-40"", ""soil_moisture_pct"": ""60-70""}"
csk_1d761049-f585-4a62-be6b-7cabede7131c,soybean,Reproductive Phase,Flowering,36,50,llm,2026-06-21 09:49:25.592994+00:00,2026-06-21 09:49:25.592994+00:00,,"Girdle beetle, Green semilooper, Tobacco caterpillar, Whitefly","Cloudy weather, warm and humid days, and too many weeds in the field.","Field care: Walk through your field daily and pluck leaves with caterpillar eggs or twigs damaged by girdle beetle. Natural control: Install 10 to 12 wooden bird perches per acre so birds can eat the caterpillars, and spray neem water on the leaves. Spray if needed: If the pest attack is severe, visit the local cooperative store for a safe caterpillar control spray.","Yellow mosaic disease, Rust, Collar rot","Continuous rains, water standing in the field, and high humidity.","Field care: Remove any yellow-colored plants immediately and bury them outside the field to stop the disease from spreading. Natural control: Spray a mix of sour buttermilk and water on the crop to boost its strength. Spray if needed: If you see rust spots on the leaves, spray a basic disease-fighting medicine recommended by your local agriculture officer.","{""uv_index"": ""6-9"", ""temp_max_c"": ""35"", ""temp_min_c"": ""15"", ""photoperiod"": ""11-13"", ""soil_temp_c"": ""22-28"", ""irrigation_mm"": ""35-50"", ""optimal_temp_c"": ""24-30"", ""avg_yield_kg_ha"": ""1500-2200"", ""rel_humidity_pct"": ""60-80"", ""harvest_index_pct"": ""35-40"", ""soil_moisture_pct"": ""65-75""}"
csk_525a32fc-a807-4b20-be48-cd278b1b1f28,soybean,Vegetative Phase,Seedling and Early Leaf Stage,8,20,llm,2026-06-21 09:50:31.869261+00:00,2026-06-30 09:59:29.259757+00:00,,"Stem fly, Blue beetle, Tobacco caterpillar, Whitefly","Hot and dry weather, presence of weeds in and around the field, and late sowing of seeds","Field care: Keep the field completely free of weeds as they hide young pests. Natural control: Hang yellow sticky traps at crop height to catch whiteflies and use neem spray on young leaves. Spray if needed: If you see many leaves with holes, spray a mild insect medicine recommended by your local cooperative. Always check the underside of the leaves for tiny pests.","Collar rot, Root rot, Yellow mosaic disease","Water standing in the field, heavy clay soil that stays wet, and high humidity",Field care: Make channels to drain out any standing rainwater quickly. Natural control: Pull out any yellowing or rotting seedlings and bury them far away from the field. Spray if needed: Spray a basic copper-based medicine near the base of the plants if you see rotting near the soil. Keeping the soil dry around the stem will save the young plants.,"{""uv_index"": ""6-10"", ""temp_max_c"": ""38"", ""temp_min_c"": ""15"", ""photoperiod"": ""12-13"", ""soil_temp_c"": ""22-28"", ""irrigation_mm"": ""25-35"", ""optimal_temp_c"": ""25-32"", ""avg_yield_kg_ha"": ""1500-2200"", ""rel_humidity_pct"": ""60-80"", ""harvest_index_pct"": ""0"", ""soil_moisture_pct"": ""60-70""}"
csk_2793c7d5-52ec-4264-ad42-0736fc8e3153,soybean,Maturity Phase,Seed Filling and Pod Development,71,90,llm,2026-06-21 09:49:25.592994+00:00,2026-06-21 09:49:25.592994+00:00,,"Pod borer caterpillar, Tobacco caterpillar, Green stink bug","Cloudy weather, warm days, and too many leaves blocking sunlight.","Field care: Walk through the field, hand-pick large caterpillars, and destroy them. Natural control: Place T-shaped wooden sticks in the soil for birds to sit and eat the worms, and spray neem water. Spray if needed: If the attack is heavy, spray a safe caterpillar medicine from your local cooperative shop.","Pod blight, Rust, Yellow mosaic","Water standing in the field, heavy rains, and damp weather.",Field care: Make channels to drain out any standing water from the field quickly. Natural control: Spray liquid made from cow urine and neem leaves to build plant strength. Spray if needed: Spray a basic copper medicine or rust-control powder mixed in water to save the pods.,"{""uv_index"": ""5-8"", ""temp_max_c"": ""35"", ""temp_min_c"": ""15"", ""photoperiod"": ""11-12"", ""soil_temp_c"": ""20-28"", ""irrigation_mm"": ""35-50"", ""optimal_temp_c"": ""22-30"", ""avg_yield_kg_ha"": ""1500-2200"", ""rel_humidity_pct"": ""50-65"", ""harvest_index_pct"": ""35-40"", ""soil_moisture_pct"": ""60-70""}"
csk_9bff8a87-a620-4053-8999-631001a4cc55,"pea,_dry_",Maturity and Harvesting,Harvesting and Threshing,121,135,llm,2026-06-30 15:48:05.137518+00:00,2026-06-30 15:48:05.137518+00:00,,"pod borer, aphids, bruchid beetle","dry weather during harvest, keeping harvested pods in the open field for too long, warm sunny days","Field care: Harvest the crop as soon as the pods turn brown and dry to avoid beetle attack. Natural control: Dry the harvested seeds thoroughly under the sun for three to four days before storing. Spray if needed: If you see many pod borers just before harvest, spray a simple neem seed kernel extract on the crop.","powdery mildew, pod rot, rust","heavy morning dew, cloudy weather, high moisture in the harvested heap","Field care: Do not heap the harvested plants when they are wet with morning dew. Natural control: Keep the threshing floor clean, dry, and exposed to direct sunlight. Spray if needed: If powdery mildew is severe on late-harvested crops, spray a simple wettable sulfur powder mixed in water.","{""uv_index"": ""6-8"", ""temp_max_c"": ""30"", ""temp_min_c"": ""10"", ""photoperiod"": ""10-11"", ""soil_temp_c"": ""15-20"", ""irrigation_mm"": ""0"", ""optimal_temp_c"": ""15-22"", ""avg_yield_kg_ha"": ""1500-2000"", ""rel_humidity_pct"": ""40-50"", ""harvest_index_pct"": ""45-50"", ""soil_moisture_pct"": ""20-30""}"
csk_486b521d-55ed-41a6-a0c1-c1ebf3eeacb5,soybean,Vegetative Phase,Germination and Emergence,0,7,llm,2026-06-21 09:50:31.869261+00:00,2026-06-21 09:50:31.869261+00:00,,"Cutworms, White grubs, Birds","Dry soil, fields with leftover crop waste, using raw or semi-rotted cow dung","Field care: Keep the field clean and remove old crop roots. Natural control: Place bird scarers or shiny ribbons to scare away birds, and mix neem cake in the soil. Spray if needed: Spray neem water on the soil if you see insects cutting the tiny sprouts.","Seed rot, Damping-off (seedling rot)","Water standing in the field, heavy rains right after sowing, sowing seeds too deep in wet soil",Field care: Make small drains to let extra rainwater flow out of the field quickly. Natural control: Treat the seeds with friendly bio-fungicide powder like Trichoderma before sowing. Spray if needed: Spray a simple copper medicine mixed in water around the base of the sprouts if they start rotting.,"{""uv_index"": ""6-8"", ""temp_max_c"": ""38"", ""temp_min_c"": ""15"", ""photoperiod"": ""12-14 hours"", ""soil_temp_c"": ""25-28"", ""irrigation_mm"": ""20-30 mm. Keep the soil moist but avoid waterlogging to prevent seed rot."", ""optimal_temp_c"": ""25-30"", ""avg_yield_kg_ha"": ""1500-2000 kg/ha. This is the final expected yield under good management."", ""rel_humidity_pct"": ""60-70"", ""harvest_index_pct"": ""0"", ""soil_moisture_pct"": ""50-60%. Maintain light moisture so the seeds can germinate easily.""}"
csk_2a9477e2-eada-45cf-9a00-e9385ee8ddf0,sesame,Germination and Establishment Phase,Sprouting and Seedling Emergence,1,10,llm,2026-07-01 09:21:02.690939+00:00,2026-07-01 09:21:02.690939+00:00,,"ants, cutworms, grasshoppers","dry soil, presence of weeds, unploughed field borders",Field care: Keep the field borders clean and remove all weeds. Natural control: Use neem cake in the soil to keep ants away. Spray if needed: Mix five milliliters of neem oil in one liter of water and spray on the tiny seedlings if you see insects cutting them.,"seedling rot, damping-off","waterlogging, heavy clay soil, cloudy weather, sowing seeds too deep",Field care: Make sure excess rainwater drains out of the field quickly and do not let water stand. Natural control: Treat the soil with friendly Trichoderma powder before sowing. Spray if needed: Spray copper-based blue powder mixed in water near the base of the seedlings if they start rotting and falling over.,"{""uv_index"": ""6-10"", ""temp_max_c"": ""40"", ""temp_min_c"": ""20"", ""photoperiod"": ""11-12"", ""soil_temp_c"": ""25-30"", ""irrigation_mm"": ""15-20"", ""optimal_temp_c"": ""25-35"", ""avg_yield_kg_ha"": ""0"", ""rel_humidity_pct"": ""50-70"", ""harvest_index_pct"": ""0"", ""soil_moisture_pct"": ""50-60""}"
csk_0663ed82-f21f-4ae4-85ed-000ad0b2aea3,soybean,Vegetative Phase,Branching and Active Growth,21,35,llm,2026-06-21 09:50:31.869261+00:00,2026-06-21 09:50:31.869261+00:00,,"Girdle beetle, Tobacco caterpillar, Semilooper, Whitefly","Cloudy weather, high humidity, weeds in the field, and too much nitrogen fertilizer","Field care: Remove weeds regularly and cut off any twigs damaged by the girdle beetle. Natural control: Install T-shaped wooden bird perches in the field and spray neem water. Spray if needed: If you see many caterpillars, spray a safe insect-killing medicine bought from your local government depot.","Yellow mosaic virus, Leaf spot, Root rot","Water standing in the field, warm and humid weather, and whiteflies spreading the virus",Field care: Remove and bury any yellow-colored plants immediately to stop the disease from spreading to healthy ones. Natural control: Spray a mix of sour buttermilk and water on the leaves. Spray if needed: Spray a basic fungus-control medicine if leaf spots start spreading rapidly.,"{""uv_index"": ""6-10"", ""temp_max_c"": ""38"", ""temp_min_c"": ""15"", ""photoperiod"": ""12-13 hours"", ""soil_temp_c"": ""22-28"", ""irrigation_mm"": ""30-40"", ""optimal_temp_c"": ""25-30"", ""avg_yield_kg_ha"": ""1500-2000"", ""rel_humidity_pct"": ""60-80"", ""harvest_index_pct"": ""35-40"", ""soil_moisture_pct"": ""60-70""}"
