crop_name,lan_kan,lan_hin,lan_mar,lan_tel,lan_tam,lan_guj,lan_urd,lan_ban,lan_ori,lan_mal,meta,uid,created_at,updated_at,deleted_at,lan_ass,lan_pun
Mushrooms,ಅಣಬೆ,मशरूम,मशरूम,పుట్టగొడుగులు,காளான்கள்,મશરૂમ્સ,مشروم,মাশরুম,ଛତୁ,കൂൺ,{},crops_9f904e39-7f3c-42c6-a395-a71a7526777a,2026-01-19 11:00:32.931602+00:00,,,,
Nutmeg,ಜಾಯಿಕಾಯಿ,जायफल,जायफळ,జాజికాయ,ஜாதிக்காய்,જાયફળ,جائفل,জায়ফল,ଜାଇଫଳ,ജാതിക്ക,{},crops_c136b572-c664-4f7a-b39f-847610d5727b,2026-01-19 11:01:16.051423+00:00,,,,
Okra,ಬೆಂಡೆಕಾಯಿ,भिंडी,भेंडी,బెండ,வெண்டைக்காய்,ભીંડા,بھنڈی,ঢেঁড়স,ଓକରା,വെണ്ടക്ക,{},crops_932d2c75-a856-4dcc-b727-28c465ad1ca3,2026-01-19 11:01:48.741509+00:00,,,,
Onion,ಈರುಳ್ಳಿ,प्याज,कांदा,ఉల్లిపాయ,வெங்காயம்,ડુંગળી,پیاز,পেঁয়াজ,ପିଆଜ,ഉള്ളി,{},crops_5cafd02a-1083-422a-8072-8d57b3890be9,2026-01-19 11:02:21.045599+00:00,,,,
Papaya,ಪಪ್ಪಾಯಿ,पपीता,पपई,బొప్పాయి,பப்பாளி,પપૈયા,پپیتا,পেঁপে,ପପାଇ,പപ്പായ,{},crops_aab51ea5-90cb-4024-b39b-b11b5a69b288,2026-01-19 11:03:21.730469+00:00,,,,
Peach,ಪೀಚ್ ಹಣ್ಣು,आड़ू,पीच,పీచ్,பீச்,પીચ,آڑو,পীচ,ପିଚ୍,പീച്ച്,{},crops_ae16156f-a979-44b9-bc5e-3a38255f7ec2,2026-01-19 11:04:00.284467+00:00,,,,
Plum,ಪ್ಲಮ್ ಹಣ್ಣು,आलूबुखारा,मनुका,ప్లం,பிளம்,આલુ,آلوبخارہ,বরই,ପ୍ଲମ୍,പ്ലം,{},crops_02e9d015-56a0-4079-99ca-0c78edbf0ebf,2026-01-19 11:04:54.442926+00:00,,,,
Potato,ಆಲೂಗೆಡ್ಡೆ,आलू,बटाटा,టమాటో,உருளைக்கிழங்கு,બટાકા,آلو,আলু,ଆଳୁ,ഉരുളക്കിഴങ്ങ്,{},crops_bccd55fd-7a53-4bbe-a726-439ae987ba6a,2026-01-19 11:05:40.836823+00:00,,,,
Radish,ಮೂಲಂಗಿ,मूली,मुळा,ముల్లంగి,முள்ளங்கி,મૂળા,مولی,মূলা,ମୂଳା,മുള്ളങ്കി,{},crops_f193142c-530a-4004-a968-6949efd13f1a,2026-01-19 11:06:28.273286+00:00,,,,
Rye,ರೈ ಧಾನ್ಯ,राई,राई,రై,கம்பு,રાઈ,رائی,রাই,ରାଇ,റൈ,{},crops_67e7e998-8415-42fa-a24e-ff59e95c11b4,2026-01-19 11:07:13.174002+00:00,,,,
Sesame,ಎಳ್ಳು,तिल,तीळ,నువ్వులు,எள்,તલ,تل,তিল,ତିଲ,എള്ള്,{},crops_d9b615e9-cd1e-4894-b618-07414de74e89,2026-01-19 11:08:12.663640+00:00,,,,
Spinach,ಪಾಲಕ್ ಸೊಪ್ಪು,पालक,पालक,పాలకూర,கீரை,પાલક,پالک,পালং শাক,ପାଳଙ୍ଗ,ചീര,{},crops_5fe04faa-4267-4e0f-b2a5-5297216bba07,2026-01-19 11:08:59.553037+00:00,,,,
Sugarcane,ಕಬ್ಬು,गन्ना,ऊस,చెరుకు,கரும்பு,શેરડી,گنے,আখ,ଆଖୁ,കരിമ്പ്,{},crops_76595250-3e09-4374-aeac-cfd010c511ea,2026-01-19 11:09:40.188203+00:00,,,,
Sweet potato,ಸಿಹಿಗೆಣಸು,शकरकंद,गोड बटाटा,చిలగడదుంప,இனிப்பு உருளைக்கிழங்கு,શક્કરિયા,میٹھا آلو,মিষ্টি আলু,ମିଠା ଆଳୁ,മധുരക്കിഴങ്ങ്,{},crops_ed3362d9-0c64-40e6-8e05-380ec241e013,2026-01-19 11:10:23.222669+00:00,,,,
Tobacco,ತಂಬಾಕು,तंबाकू,तंबाखू,పొగాకు,புகையிலை,તમાકુ,تمباکو,তামাক,ତମାଖୁ,പുകയില,{},crops_9330fdea-32b2-486a-8d42-83ea7cec0ff9,2026-01-19 11:11:17.294710+00:00,,,,
Turmeric,ಅರಿಶಿನ,हल्दी,हळद,పసుపు,மஞ்சள்,હળદર,ہلدی,হলুদ,ହଳଦୀ,മഞ്ഞൾ,{},crops_bdd88b67-042b-4e4c-904a-0deab512df03,2026-01-19 11:11:53.695770+00:00,,,,
Watermelon,ಕಲ್ಲಂಗಡಿ,तरबूज,टरबूज,పుచ్చకాయ,தர்பூசணி,તરબૂચ,تربوز,তরমুজ,ତରଭୁଜ,തണ്ണിമത്തൻ,{},crops_e6a26a71-859e-4c02-bd07-b834140b7fdf,2026-01-19 11:12:28.901260+00:00,,,,
"Pea, dry ",ಒಣ ಬಟಾಣಿ,सूखा मटर,सुका वाटाणा,ఎండు బఠానీ,காய்ந்த பட்டாணி,સૂકા વટાણા,خشک مٹر,শুকনো মটর,ଶୁଖିଲା ମଟର,ഉണക്ക പട്ടാണി,{},crops_e8f7badb-a62a-4831-86e7-31e6c1cfd1ff,2026-01-19 11:03:40.107083+00:00,,,,
